card_number,first_name,last_name,email,address,phone
8974631591035       ,Gary,Stanley,gary_stanley_8@yahoo.ca,7 Silvergrove Rd,9059452713 
25557281902772      ,Jessie,Gillespie,jessie_gillespie_82@hotmail.com,369 Decimal Pl,4167484990 
455015849728        ,Amparo,Loftus,,1285 Warden Ave,9054000002 
17334964772978      ,James,Campbell,,19 Talara Dr,4167155624 
9673080898          ,Corey,Beer,corey_beer_49@gmail.com,2550 Yonge St,6479769789 
350411057053382     ,Nathalie,Lowin,nathalie_lowin_43@gmail.com,20 Rose Valley Cres,4163421878 
867909525716493     ,Louis,Duran,louis_duran_46@yahoo.ca,6 Hartland Rd,9052518629 
71792623138030      ,Donald,Begay,donald_begay_85@hotmail.com,868 Ossington Ave,6474053610 
5309015788          ,Tyra,Mccrary,tyra_mccrary_40@yahoo.ca,18 Camberley Crt,6478850584 
02953575718         ,Fermin,Evans,fermin_evans_14@gmail.com,44 Forest Path Crt,4161282155 
837583784450        ,Kaye,Kelty,kaye_kelty_81@yahoo.ca,6 Rangeley Dr,6479645649 
27678724765         ,Miguel,Calabrese,,42 Oakhaven Dr,6474195183 
23406866550313      ,Jessie,Franklin,jessie_franklin_21@hotmail.com,32 Gala Lane,6471816056 
478236007288013     ,Heather,Burkes,heather_burkes_71@yahoo.ca,40 De Quincy Blvd,6471917218 
6622872845          ,Ralph,Jones,ralph_jones_91@yahoo.ca,27 Villata Gdns,9058359379 
65218512959868      ,John,Washington,john_washington_45@mail.utoronto.ca,25 Shaw St,9053877134 
619550463786439     ,Dolores,Hurt,dolores_hurt_62@mail.utoronto.ca,606 Milverton Blvd,9052088672 
1695749801356       ,Michael,Thomas,michael_thomas_80@gmail.com,108 Nassau St,6470726310 
68420318935332      ,William,Anderson,william_anderson_28@mail.utoronto.ca,806 Pape Ave,4168654417 
14183950360         ,Russell,Wheat,russell_wheat_30@yahoo.ca,322 Durie St,4169405856 
136033724733430     ,Michele,Mcclain,michele_mcclain_91@yahoo.ca,31 Tinbury Pl,9052024481 
889753977719        ,Caridad,Bullock,caridad_bullock_10@mail.utoronto.ca,44 Mallon Ave,9051285086 
1724918928348       ,Jeffrey,Brady,,34 Saddletree Dr,9059957543 
9837595784623       ,George,Garrett,,197 Franklin Ave,4161835969 
9895143327349       ,Teresa,Wilson,teresa_wilson_54@gmail.com,465 Queen St W,9057555579 
275665603063421     ,Ryan,Cyr,ryan_cyr_48@yahoo.ca,86 Bristol Ave,4167756372 
7970482819          ,Salvador,Fox,salvador_fox_81@mail.utoronto.ca,16 Troutbeck Ave,6470615149 
547294491323806     ,Rubin,Lattea,rubin_lattea_97@hotmail.com,91 Dorcot Ave,4165165608 
5942041951649       ,Glenn,Roberts,,22 Langevin Cres,6474341091 
13670034122         ,Lorraine,Rouse,lorraine_rouse_43@hotmail.com,134 Cedric Ave,9056671957 
0772123445          ,Christopher,Witten,christopher_witten_34@gmail.com,81 Calverley Trl,4165878032 
83755096767         ,Theresa,Dattilo,theresa_dattilo_65@hotmail.com,247 Wallace Ave,9054843368 
351412425557        ,Shirley,Gordon,shirley_gordon_44@yahoo.com,366 Sprucewood Crt,4164689117 
451541289689892     ,Andrew,Rowell,andrew_rowell_23@yahoo.ca,15 Harefield Dr,9054624764 
378956710098        ,Jessenia,Yap,jessenia_yap_99@yahoo.com,40 Coady Ave,4160914444 
117349288574        ,Todd,Clark,todd_clark_38@gmail.com,88 Prince Arthur Ave,6479204294 
92697296722941      ,Ruth,Johnson,ruth_johnson_6@yahoo.com,74 Dewson St,9053596580 
571872037596004     ,Nathaniel,Hayes,nathaniel_hayes_77@mail.utoronto.ca,15 Cudia Cres,4167397612 
572365145502        ,Leonard,Herring,leonard_herring_53@gmail.com,139 Heatherside Dr,4166411995 
39656331138411      ,Nicholas,Brown,nicholas_brown_54@yahoo.com,40 Strathmore Blvd,6478252439 
800468907182        ,Jermaine,Redmond,jermaine_redmond_77@hotmail.com,323 Indian Road Cres,4161918962 
96772917094544      ,Beverly,Conway,beverly_conway_1@mail.utoronto.ca,73A Day Ave,9059956299 
2895462945          ,Katherine,Collins,katherine_collins_39@yahoo.com,151 Bingham Ave,9054675051 
55974258901588      ,Alvin,Gelsinger,alvin_gelsinger_34@yahoo.ca,301 St Helen's Ave,6477834967 
1283911752288       ,Jessica,Greene,jessica_greene_98@hotmail.com,165 Lawlor Ave,6477836894 
849748059568969     ,Lori,Sanders,lori_sanders_88@gmail.com,5 Willowood Crt,6478811902 
40981081473         ,Eric,Lopez,eric_lopez_20@yahoo.com,365 Broadway Ave,6471608490 
851362309137194     ,Mary,Rosario,,69 Emmeline Cres,9051694106 
3672102090          ,Arthur,Petty,arthur_petty_74@gmail.com,23 Jopling Ave N,4165641455 
31418421084         ,Charles,Swofford,charles_swofford_69@hotmail.com,480 University Ave,9052306204 
28338035275         ,Amber,Hyman,amber_hyman_86@yahoo.ca,47 Dromore Cres,4162067734 
7155824820          ,Carlos,Kunkel,,25 Austin Ave,9059917152 
2799615637424       ,Ralph,Grisby,ralph_grisby_72@gmail.com,55 Stanley Greene Blvd,4164934198 
131607306146        ,Ruth,Dorgan,ruth_dorgan_57@gmail.com,144 Pritchard Ave,4169161466 
0960764017628       ,Susan,Wilke,susan_wilke_72@mail.utoronto.ca,52 Sonmore Dr,9056892935 
8943754364          ,Mark,Shutts,,125 Broadview Ave,9056983578 
58212321541         ,Robert,Senior,robert_senior_59@hotmail.com,72 Dynevor Rd,4168627343 
9495630689          ,Manuel,Marsha,manuel_marsha_70@gmail.com,91 Edward Horton Cres,9057939660 
3489638118634       ,Christina,Carrero,christina_carrero_74@hotmail.com,69 Highcourt Cres,6474203785 
613720273099839     ,Daniel,Malachi,,60 Edinborough Crt,9050413452 
2046364764853       ,Reginald,Ferguson,reginald_ferguson_0@yahoo.com,95 Redgrave Dr,9052265675 
005670065192217     ,Brittany,Staley,,28 Glenellen Dr W,4169294703 
002991040907        ,Stacy,Blatz,stacy_blatz_60@gmail.com,8 Sweetbriar Crt,9059726473 
943186028256        ,Brandon,Harvey,brandon_harvey_43@hotmail.com,2 Alanmeade Cres,4164778663 
745216785303        ,Brenda,Shaeffer,,32 Rita Dr,9054527359 
39780526101         ,Janet,Steele,janet_steele_51@hotmail.com,38 Gilgorm Rd,9059985165 
07892107582821      ,Daniel,Brantley,,152 Manitoba St,6472435075 
001664369241444     ,Scott,Eveland,scott_eveland_23@mail.utoronto.ca,20 Pictorial St,9057885387 
12289703899367      ,Charlotte,Serrano,charlotte_serrano_67@hotmail.com,60 Northey Dr,4168136287 
77737420951         ,Stacy,Salimi,,17 Draper St,4165014116 
85086633411850      ,Gilbert,Butts,,4000 Leslie St,6478108585 
488911102187351     ,Michael,Perez,michael_perez_47@yahoo.ca,10 Foregate Ave,9051564041 
0199270032275       ,Kenneth,Bradley,kenneth_bradley_30@yahoo.com,1695 Avenue Rd,6479632477 
20891134101995      ,Barbara,Francis,barbara_francis_75@hotmail.com,2981 Lawrence Ave E,9050754881 
9909621460757       ,Jose,Daulton,jose_daulton_65@gmail.com,290 Rushton Rd,4168822452 
2614614125          ,Salvatore,Johnson,,236 Ashdale Ave,4162270913 
26502421485655      ,Cindy,Janusz,cindy_janusz_86@yahoo.com,87 Elnathan Cres,6470218443 
900388481304        ,Mary,Meador,mary_meador_68@hotmail.com,16 Chambers Ave,9058918897 
6098754793579       ,Carol,Clerk,carol_clerk_72@gmail.com,93 McRoberts Ave,9051708759 
0082958892682       ,Eric,Williams,eric_williams_28@yahoo.com,2441 Keele St,6476492837 
4418437068          ,Frances,Thomas,frances_thomas_27@hotmail.com,57 Piperbrook Cres,4161785976 
4407219420155       ,Diane,Selby,diane_selby_72@hotmail.com,12 Green Ash Ter,4164774592 
716795692275703     ,Teresa,Haworth,teresa_haworth_82@mail.utoronto.ca,234 Brock Ave,4165220166 
22871046341906      ,Crystal,Wong,crystal_wong_67@yahoo.ca,262 Dovercourt Rd,4162631676 
72035735994         ,James,Hendrickson,james_hendrickson_50@hotmail.com,14 Enchanted Hills Cres,6475396564 
2188309712          ,Patrick,Downes,patrick_downes_96@gmail.com,488 Queen St W,6473967907 
9820389758          ,Scott,Aycock,scott_aycock_9@gmail.com,154 Glen Cedar Rd,6478647948 
47121450394         ,Margaret,Jones,margaret_jones_38@yahoo.com,65 Cathedral Bluffs Dr,9055403013 
49597748178985      ,Evelyn,West,evelyn_west_75@mail.utoronto.ca,89 Rainsford Rd,6471440089 
743504071113        ,Edmundo,Criswell,edmundo_criswell_50@yahoo.ca,453 Scarborough Rd,4160458104 
28489170936         ,Katherine,Ingersoll,,83 Browning Ave,6472986198 
286169530229        ,Arthur,Peru,arthur_peru_45@hotmail.com,144-146 Fifth St,4160839324 
575175678859        ,Geralyn,Stumpf,geralyn_stumpf_24@yahoo.ca,4 Lovel Ave,9053149950 
6312245344268       ,Rayford,Berti,rayford_berti_97@hotmail.com,106 Hillhurst Blvd,9053729479 
47245204046844      ,Lawrence,Mcculloch,lawrence_mcculloch_82@yahoo.ca,32 Maybourne Ave,6473654879 
542186213975440     ,Donald,Enriquez,donald_enriquez_41@yahoo.ca,85 Keeler Blvd,9058648989 
991875466902        ,Roscoe,Okumura,,34 Acacia Rd,6472371966 
910661211557619     ,Andrea,Young,,55 Lowcrest Blvd,9050721049 
9970383620320       ,Dorothy,Duncan,dorothy_duncan_55@gmail.com,33 Nasmith Ave,6475480854 
3832563316742       ,Shirley,Konecny,,57 Dukinfield Cres,4160114111 
